Location,Variant,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Benin,Gross Domestic Product (GDP),110.583064952538,114.82592947058,138.298322696182,165.595207916558,173.778439446444,206.408504933327,214.43926486573,228.892363403981,270.677402483948,321.051739077041,399.350644002403,367.598872601949,348.712585151079,292.914101033571,273.186482325364,264.012715060497,327.575885455035,372.143275996075,374.442639017846,336.659419926014,400.311403045848,392.245280454477,428.276171596778,418.858181552708,284.372851798251,397.052915676303,418.704018029812,390.245956110796,410.06849334217,403.622464281663,374.19383956066,378.740676813747,418.702507466108,519.283807292716,583.397373032109,601.796127940154,625.822632609175,706.041721844483,820.159647873181,793.456233832628,757.697410781237,825.946120737973,834.303974606944,910.669201424659,930.838212281681,799.378536963386,788.447131705857,826.475967404579
Bermuda,Gross Domestic Product (GDP),5078.53172933481,5692.5214223718,6279.60054276624,7116.27487124384,8174.09085313673,8942.23565178639,9933.052471552,10701.0651148211,11495.1728367317,13274.0897228968,15834.3698572156,17203.2714609641,19068.0583607714,21095.9116906869,22059.5833496443,24240.6008655804,26731.2198267143,29059.7811186821,30837.5771034253,32481.3834616274,33398.1925980634,34482.5652074635,34862.5039642006,36918.8082341941,38189.613664417,40780.3772489473,43088.9403994538,46360.453152911,49290.0442443041,52141.3897470478,54354.6409539576,57218.7708906612,60938.3686735799,64537.151225528,68926.497594713,74744.9053431598,82506.539815256,90879.8156937681,95608.3558994197,92358.5680294854,91515.6251954469,88200.208851701,88128.0441444151,89968.6181357633,90895.4668494117,95006.409705982,98808.5667304511,102192.114688096
Bhutan,Gross Domestic Product (GDP),207.091643495869,215.315969173985,220.404286792329,240.179290578882,273.93092833648,247.925720456705,244.592200980594,262.042303274717,243.992261107572,265.018807049194,314.276861585065,344.250255456462,353.071597233846,386.60422928592,369.872636148435,368.603038335056,421.914339515505,490.148164606668,511.571220683326,479.417198013746,509.23176335588,433.92885884211,441.565764641405,422.19559609087,502.519720623871,561.561643037852,588.583158248195,673.890973958507,664.705605144373,720.678391440257,765.83588494976,808.000164678022,885.632408842333,997.67137083515,1097.54265545138,1247.06209959626,1335.45666045195,1741.14114890286,1795.19161917646,1770.22311541133,2178.9100205789,2458.04795777174,2422.00538777119,2350.87984625262,2522.79427624103,2614.82334216052,2773.5517922844,3172.83301309724
Bolivia (Plurinational State of),Gross Domestic Product (GDP),224.17904523947,237.855548184156,272.169775216384,270.782096029742,438.362279144938,478.873533480145,536.858465335963,528.404074322559,564.52834119084,598.641143498588,629.815625095601,680.123669619425,676.210031985597,657.471364373612,662.753804525156,663.600579499305,646.963057729776,667.379478619133,697.370065539956,701.463965942602,709.949045130654,764.139633539316,791.376832046179,788.4031082193,806.208566823242,887.458811328807,958.471396364057,1006.97272608532,1058.7123371619,1012.50831847556,1006.99608590047,958.234227510299,913.575634632588,917.368297063941,978.301777054163,1046.43201813859,1233.59193640322,1389.62689466795,1736.93348035896,1776.87019790126,1981.17632371522,2377.68877005217,2645.22774704681,2947.93852160513,3124.00031211331,3077.02619775472,3117.33045967985,3393.95582225811
Bosnia and Herzegovina,Gross Domestic Product (GDP),1737.40226265887,1398.95643264817,1116.88218814888,888.12914844999,713.692455884996,529.109916351092,747.338039731573,1033.78332912075,1156.19570559989,1278.01384284747,1511.43527630563,1576.54377818895,1826.46682517584,2305.43292051485,2753.06402885093,2967.79245518012,3403.87648896031,4180.90544204885,5078.33093531279,4701.36376845104,4614.70531102312,5054.19391075747,4721.98241976896,5042.74888133673,5204.3525131615,4584.2641936405,4808.53014787141,5180.77782708019
Botswana,Gross Domestic Product (GDP),96.0287795333112,122.609987048462,154.399569096615,220.469561008714,295.835161932573,331.893721174563,346.169376155982,429.218098518426,491.505108301297,616.670912819704,851.437428750856,938.319242932453,793.265014810915,831.936154859676,842.394996274453,704.38289165743,912.333266261623,1219.63059414057,1373.4626342727,2254.50216343721,2700.66893631819,2729.81244030867,2795.08874557007,2731.40614829322,2779.06673067024,3014.86060793028,3022.17978371526,3065.55805676418,2869.19608245971,3226.29898803292,3349.05842904127,3128.12152405709,3055.61517336704,4163.03559190472,4896.60779538478,5351.3152891488,5374.58130272535,5714.03339513679,5623.41515506044,5185.70502386144,6346.13533820934,7483.84970399799,6901.90780228055,7001.00987886538,7493.74837437013,6527.50313336191,6954.17312792408,7595.59581687935
Brazil,Gross Domestic Product (GDP),369.401471104096,402.45866921444,505.512505151963,698.671149359302,874.54565844545,1004.08233719662,1159.03999080199,1317.21937716635,1460.51876036844,1572.51303929543,1577.46105768211,1818.56042374052,1880.96440914917,1311.89590376418,1318.19052741609,1381.66945300973,1627.39133917751,1749.15403299489,1916.9422734463,2559.68272683203,2724.4135822091,2491.05054404503,2346.24784902304,2589.75786377673,3634.78862469315,4794.01764500855,5151.93306501529,5261.34168587487,5017.40697040027,3438.7241787593,3721.6559581306,3154.68163079852,2842.22720175724,3062.88669813078,3622.90196197823,4770.2033766229,5860.07394807264,7313.71430313717,8787.77036359513,8553.26085988837,11223.9836650215,13167.2465481659,12291.6643954753,12216.9659358154,12026.864922852,8750.21146877945,8633.64139822412,9821.43977614319
British Virgin Islands,Gross Domestic Product (GDP),1016.70509027849,863.141925777332,887.335407407407,990.830280592362,1171.52269004721,1275.10223367698,1381.17300578583,1421.4735152488,1640.1918964547,2021.46719792439,2474.94819123796,2631.274060981,2992.3006318306,3240.4342796193,3407.43193778965,3395.9379134095,3527.81747739991,4019.53074234012,4318.06157474125,4938.13339622642,6250.27130793998,7944.73821896776,9954.85902905904,13083.0144043382,16672.1500110791,21114.3544798394,23365.1607285085,26547.9338349766,29865.2019065004,32671.0961462255,35650.6118188423,37648.9918425421,35780.0238747736,31717.5220454545,32434.5282817976,36802.1038069751,38619.2728717841,40063.7332902026,37970.4541477894,32461.5780995954,32183.0737584484,30751.62180567,30548.1426917815,30885.1872246696,31689.1645261593,31697.8342244213,31676.6286161573,31916.8168996025
Brunei Darussalam,Gross Domestic Product (GDP),1735.72090200442,1827.86485142662,2394.18165396193,3661.55281570993,8693.31888761746,9076.26750374826,10624.5802483277,12451.9616068819,13454.0683421483,18766.0658381117,31918.1414207413,27407.8910316674,25982.6993363005,22762.7041754205,21770.0753977178,19711.6126318392,11683.0475937342,13044.7963643869,12065.11117071,13153.2971662095,15073.1395119477,15401.8194196094,16924.6814471471,16146.9948078428,15642.9987394973,17649.9409040154,18602.5699217192,18453.2878103663,14057.7345296772,15619.5847957128,19954.6547154583,18247.2528652274,18666.3274231234,20560.6861075943,24262.0571754651,28922.5280797638,34327.7637363132,36201.5398307135,42053.046765033,30987.9498166345,35267.4464425136,47015.6841878589,47651.127931729,44598.075686736,41529.3407665023,30967.6590956911,26938.5033828231,28290.766218846
Bulgaria,Gross Domestic Product (GDP),1057.89308223641,1039.5454107365,1208.95315253615,1433.569546394,1551.28517600845,1362.7650921418,1439.15071299231,1466.54192066056,1583.78956103949,1062.69881889465,1221.18332686144,1396.4593054399,1513.39033027694,1623.01166393465,1734.64527979095,1836.83992887626,1953.34793038231,2127.33431631812,2449.33140058252,2471.67464989999,2344.20967033962,958.390557143304,1092.15657601302,1391.21521207513,1261.62928653873,1722.52509281433,1219.29718978754,1363.38581982796,1797.99990062295,1674.09781283083,1644.60136259672,1774.85422814201,2069.21871219698,2688.74753451539,3352.31034029296,3856.96307583765,4476.20139465225,5868.93379034319,7245.02414709713,6958.76877875364,6834.99608756481,7805.66244322165,7373.24591631636,7645.93212942221,7866.80581245845,6994.36089239531,7465.43384193988,8218.19557608487
Burkina Faso,Gross Domestic Product (GDP),80.0220855149644,80.2766112144352,100.713211111417,114.477433997458,123.803763046594,144.535820498017,135.951090400959,161.058805332755,203.369913458118,267.13630529745,283.337260289388,256.4690824549,229.546367697456,204.512024064454,178.203918460776,202.968657810497,259.411059164944,294.119369839005,316.291066164278,307.993291090919,355.612600978391,349.969077872586,364.767474006106,338.394779304855,195.062213179163,238.253016110944,251.91996573776,231.848841560379,258.343166672719,267.014677425016,226.801623191369,237.275860769693,260.763539968513,332.344297137769,371.323079942674,406.998774004923,420.582515562034,475.109637509857,569.761511765393,552.745585739431,575.446298239033,666.840390141099,673.822770841168,699.781483974802,703.821723560574,575.110400271739,582.625048293608,642.138599390587
Burundi,Gross Domestic Product (GDP),71.0256236339255,72.0366348371898,69.5121384435042,85.3688698289673,95.7213587675495,112.998591525317,122.292790153683,142.165278996856,156.784686493652,197.551259295804,231.049592170089,235.164240449339,241.263734384356,248.830807505265,220.11216161168,249.071415233821,254.794644159015,232.985752648118,212.057888133266,214.318162572141,212.046515885872,210.64436073781,191.976063019777,168.911916322105,182.032117571254,167.799511092475,143.841207935414,159.168650926959,144.46232723186,128.708020621969,110.786722073364,101.031577912765,93.1684532463709,85.6424068361089,94.6592671760443,150.487119897638,165.904756044417,170.815037845303,196.271905041402,209.151959932089,231.795808681431,247.226391304017,250.361988371103,255.372685507898,273.538356246071,275.563910432866,277.038174847736,290.444153755691
Cabo Verde,Gross Domestic Product (GDP),269.952604277373,301.415225635408,340.098753416867,420.71865896119,422.610662099731,491.755070898038,456.828637856877,425.268047134233,484.290388486604,512.478845758268,564.345781567965,543.977792691406,538.073218687368,519.245731539136,485.420197585662,497.31109607654,677.438730601996,826.631118964312,915.391109267065,910.547371937838,1024.71342341236,1043.59214114325,1135.24288636314,1114.25290988954,1226.91499083326,1433.85968339239,1439.82886706795,1374.56934688629,1432.54709509523,1592.26570047465,1409.50132355693,1443.05849860031,1562.0522034183,2011.73362637218,2247.75715956964,2329.26864990039,2620.58496276102,3112.29273416462,3638.89425140152,3444.55329660882,3312.82571108305,3670.43350901128,3408.48135587227,3558.79789979429,3529.62476988651,2995.14953748067,3082.16163267256,3244.67116696081
Cambodia,Gross Domestic Product (GDP),109.939240494144,107.558186089287,103.760171049827,86.9294252367146,88.7790185067959,95.8055389204453,102.699776524962,95.7621059832663,106.002622142787,102.791296179045,106.921290973391,115.977434459016,120.14929201579,125.87695342705,131.671253679243,137.305430148192,140.90477405588,170.535116379856,199.305528293992,200.450372800625,189.195903601103,242.082404130312,248.781630252747,244.160243594074,259.436881357651,310.633874744952,319.365294990293,304.843166351825,269.886960079665,295.597912518244,301.72241252675,321.854766092773,339.493034815246,362.938950006167,408.614849176879,474.224034663106,539.872192497273,631.676141474108,745.78805287772,738.232118168742,785.69313711576,882.490269533118,950.02440554485,1028.41916971648,1098.68631875205,1163.18977018276,1269.90724480571,1382.12138111543
Cameroon,Gross Domestic Product (GDP),201.57945800868,220.270227679366,276.817146213107,366.113828857093,380.581947530829,486.253953983555,515.169863255674,585.671503473319,748.976354475338,967.810518976902,1170.71001435615,1065.9698104324,1037.36751847639,1049.5955990024,1002.37286897324,954.933776687458,1131.74869044636,1195.8031043215,1133.34901516374,1013.26942522046,1093.80908683078,1020.79344454001,1011.26468854456,1040.05647089738,587.01285670704,716.240386355476,747.70369315358,696.682167055939,732.004266866687,728.015284134685,657.755005167546,664.928660894176,731.699952282975,892.310302194659,1006.25451402092,1030.0381092886,1081.36981073231,1215.80825707054,1396.82512621955,1338.88440329327,1309.1189157109,1429.64348224997,1380.50937947952,1493.74832361866,1571.18104745496,1353.44560876397,1391.58598535014,1451.91763174703
Canada,Gross Domestic Product (GDP),4097.13844557224,4552.90570831926,5103.71690536599,5835.78321847518,7023.465115354,7507.32344723936,8806.52549884394,8913.56119314571,9104.56037090255,10011.7985091213,11160.5010040554,12351.7009600954,12519.4163916786,13461.8832486255,13897.4757350841,14097.6142322503,14401.586357333,16233.4682487091,18827.1445186788,20678.3388601407,21447.6271992665,21762.4489086547,20869.7904629608,20102.9650107193,19917.2916238623,20593.6634414812,21219.3027164565,21831.0614985531,20936.6491106846,22199.7379616487,24150.6354830836,23735.850489423,24199.2436420912,28216.0505105366,32025.026600952,36217.6067809303,40295.2444100623,44366.4852731809,46373.1207170378,40578.8456693687,47220.5545762206,51786.8632821449,52270.8282668664,52264.9599662296,50534.6202358812,43185.9706139854,42076.6404301182,44973.5481026937
