,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
114,478,Africa,Zero-migration,Mauritania,4.576,4.2931,4.0308,3.7937,3.5843,3.3966,3.229,3.0817,2.9531,2.8378,2.7308,2.6323,2.5462,2.4683,2.3872,2.3169,2.2481
115,480,Africa,Zero-migration,Mauritius,1.4334,1.4296,1.4713,1.5128,1.5508,1.5876,1.6184,1.6466,1.6716,1.6919,1.7103,1.7258,1.7402,1.7529,1.7629,1.7701,1.7787
116,175,Africa,Zero-migration,Mayotte,3.7289,3.4238,3.1724,2.9613,2.7796,2.621,2.4775,2.3498,2.2358,2.1332,2.0494,1.9799,1.9254,1.8837,1.8522,1.8326,1.8195
117,484,Americas,Zero-migration,Mexico,2.1364,2.0037,1.8934,1.8147,1.7611,1.7311,1.7157,1.7142,1.7147,1.723,1.7303,1.7396,1.7494,1.7578,1.767,1.774,1.7799
118,583,Oceania,Zero-migration,Micronesia (Fed. States of),3.0763,2.868,2.6981,2.5536,2.4311,2.3245,2.2294,2.1459,2.0737,2.0116,1.9576,1.9134,1.88,1.8542,1.8348,1.8219,1.8112
119,498,Europe,Zero-migration,Republic of Moldova,1.2295,1.2424,1.3124,1.3764,1.435,1.4899,1.5379,1.5788,1.614,1.6434,1.6686,1.6903,1.7098,1.7248,1.7367,1.7478,1.7573
120,496,Asia,Zero-migration,Mongolia,2.6627,2.5217,2.4075,2.3114,2.233,2.1693,2.1178,2.0745,2.041,2.0125,1.9901,1.972,1.9572,1.9424,1.9323,1.9231,1.9165
121,499,Europe,Zero-migration,Montenegro,1.6565,1.6352,1.6375,1.6458,1.659,1.6721,1.6871,1.7015,1.714,1.7268,1.7386,1.7488,1.7583,1.7669,1.7746,1.7812,1.7872
122,504,Africa,Zero-migration,Morocco,2.4247,2.2832,2.1691,2.0761,2.0009,1.9413,1.8942,1.8608,1.8383,1.8221,1.8108,1.8045,1.8022,1.8004,1.8006,1.8015,1.8038
123,508,Africa,Zero-migration,Mozambique,5.1429,4.8306,4.5228,4.2248,3.9395,3.6772,3.4373,3.2244,3.0394,2.8761,2.7377,2.617,2.5134,2.4202,2.3361,2.265,2.1916
124,104,Asia,Zero-migration,Myanmar,2.1829,2.0787,1.9951,1.9235,1.8708,1.8299,1.802,1.7844,1.7734,1.7682,1.7665,1.7687,1.7716,1.7763,1.7804,1.7849,1.789
125,516,Africa,Zero-migration,Namibia,3.311,3.0758,2.8819,2.7174,2.5764,2.4553,2.3458,2.2478,2.1612,2.0856,2.021,1.9688,1.9293,1.8953,1.87,1.8524,1.8394
126,524,Asia,Zero-migration,Nepal,2.0825,1.9343,1.8339,1.7628,1.7162,1.692,1.6822,1.684,1.6908,1.7006,1.7122,1.7224,1.7338,1.7441,1.7538,1.7624,1.7696
127,528,Europe,Zero-migration,Netherlands,1.7499,1.7642,1.7769,1.7864,1.7953,1.8034,1.8077,1.8137,1.817,1.8213,1.824,1.8266,1.8292,1.8317,1.8323,1.8334,1.8348
128,540,Oceania,Zero-migration,New Caledonia,2.1418,2.0541,1.9873,1.9324,1.8902,1.8597,1.8387,1.824,1.8165,1.8108,1.8077,1.8073,1.8084,1.8098,1.81,1.8108,1.8131
129,554,Oceania,Zero-migration,New Zealand,1.9742,1.9253,1.8859,1.8544,1.8323,1.8155,1.8024,1.7967,1.7916,1.7899,1.7914,1.7937,1.7942,1.7962,1.7986,1.8021,1.8053
130,558,Americas,Zero-migration,Nicaragua,2.1606,2.0294,1.9305,1.8491,1.7939,1.7558,1.733,1.7246,1.7209,1.7254,1.7309,1.7363,1.7457,1.7537,1.7619,1.7689,1.7759
131,562,Africa,Zero-migration,Niger,7.1529,6.8251,6.4349,6.02,5.601,5.189,4.7919,4.4181,4.0751,3.7656,3.4855,3.2546,3.044,2.8692,2.7193,2.5888,2.4755
132,566,Africa,Zero-migration,Nigeria,5.4168,5.079,4.7406,4.4124,4.1018,3.8148,3.5542,3.3235,3.1156,2.9429,2.7963,2.6646,2.5486,2.4468,2.3606,2.2796,2.206
133,807,Europe,Zero-migration,TFYR Macedonia,1.5457,1.5814,1.612,1.6383,1.6624,1.6827,1.7007,1.7184,1.7322,1.7439,1.7541,1.7636,1.7726,1.7774,1.7853,1.791,1.796
134,578,Europe,Zero-migration,Norway,1.8275,1.8335,1.8385,1.8429,1.846,1.8492,1.8522,1.8549,1.8567,1.8584,1.8597,1.8607,1.8619,1.8611,1.8627,1.8627,1.8626
135,512,Asia,Zero-migration,Oman,2.5373,2.2842,2.0894,1.9468,1.8396,1.7709,1.7359,1.7227,1.7253,1.7324,1.74,1.7471,1.7562,1.7645,1.7714,1.7783,1.7858
136,586,Asia,Zero-migration,Pakistan,3.3767,3.0988,2.8772,2.6945,2.5438,2.4144,2.3047,2.2069,2.1214,2.0477,1.9846,1.9367,1.899,1.8701,1.8458,1.8297,1.8193
137,275,Asia,Zero-migration,State of Palestine,3.9097,3.6119,3.358,3.1405,2.9586,2.806,2.6731,2.5559,2.4477,2.3531,2.2648,2.1879,2.1192,2.0598,2.0105,1.9658,1.9305
138,591,Americas,Zero-migration,Panama,2.4688,2.3548,2.2579,2.1701,2.0941,2.0337,1.9812,1.9374,1.9035,1.8799,1.86,1.8468,1.8381,1.8317,1.8275,1.8244,1.8219
139,598,Oceania,Zero-migration,Papua New Guinea,3.5883,3.3686,3.1772,3.0157,2.8759,2.7539,2.642,2.5458,2.4567,2.3734,2.2984,2.2263,2.1618,2.1028,2.0495,2.005,1.967
140,600,Americas,Zero-migration,Paraguay,2.4455,2.3213,2.2169,2.1259,2.0519,1.9846,1.9302,1.8862,1.8513,1.8247,1.8056,1.794,1.7867,1.7805,1.7778,1.7782,1.779
141,604,Americas,Zero-migration,Peru,2.3536,2.2262,2.1155,2.0214,1.9442,1.8842,1.837,1.8026,1.7813,1.7691,1.762,1.7585,1.7587,1.7613,1.7647,1.77,1.7746
142,608,Asia,Zero-migration,Philippines,2.8823,2.7357,2.6046,2.4929,2.3897,2.2956,2.2129,2.137,2.0655,2.0069,1.9579,1.9194,1.8878,1.8624,1.844,1.8304,1.8198
143,616,Europe,Zero-migration,Poland,1.2897,1.2965,1.3564,1.4139,1.4683,1.5154,1.5589,1.5951,1.6285,1.6546,1.6778,1.6981,1.7148,1.7306,1.7419,1.7524,1.7612
144,620,Europe,Zero-migration,Portugal,1.2408,1.2482,1.3124,1.3759,1.4343,1.4875,1.5362,1.5766,1.6131,1.6418,1.6684,1.6897,1.7083,1.723,1.736,1.7479,1.7571
145,630,Americas,Zero-migration,Puerto Rico,1.4695,1.4541,1.4799,1.513,1.5459,1.5789,1.6078,1.6349,1.6583,1.6792,1.6983,1.7153,1.7271,1.7402,1.7517,1.7612,1.7692
146,634,Asia,Zero-migration,Qatar,1.8805,1.7816,1.7071,1.6577,1.6289,1.6201,1.6208,1.634,1.6488,1.6645,1.6831,1.6988,1.7152,1.7286,1.74,1.7511,1.7602
147,638,Africa,Zero-migration,Réunion,2.2735,2.1613,2.0741,2.0057,1.9556,1.9183,1.8923,1.8731,1.8607,1.8507,1.8455,1.842,1.8395,1.8385,1.838,1.8377,1.8396
148,642,Europe,Zero-migration,Romania,1.5398,1.5841,1.6204,1.6503,1.6774,1.6986,1.7155,1.7307,1.7416,1.7522,1.7603,1.7683,1.7742,1.7803,1.7839,1.7886,1.792
149,643,Europe,Zero-migration,Russian Federation,1.7511,1.7895,1.8168,1.8367,1.8531,1.8653,1.8744,1.8805,1.8859,1.8894,1.8931,1.8959,1.8975,1.9006,1.9013,1.9008,1.9023
150,646,Africa,Zero-migration,Rwanda,3.7813,3.4394,3.1548,2.9183,2.7121,2.5308,2.3708,2.2309,2.109,2.0019,1.9192,1.8532,1.8067,1.7746,1.7549,1.7433,1.7405
151,662,Americas,Zero-migration,Saint Lucia,1.4442,1.4108,1.4189,1.4489,1.4857,1.5257,1.5617,1.5961,1.6283,1.6551,1.6779,1.6971,1.7145,1.7284,1.7413,1.7525,1.7621
152,670,Americas,Zero-migration,Saint Vincent and the Grenadines,1.9019,1.8122,1.7506,1.7114,1.6905,1.6845,1.6871,1.6957,1.7038,1.7147,1.7253,1.7365,1.7462,1.7545,1.7636,1.7724,1.7801
153,882,Oceania,Zero-migration,Samoa,3.9029,3.6684,3.4666,3.2886,3.1287,2.9903,2.8646,2.7511,2.6494,2.5502,2.4583,2.3699,2.291,2.2152,2.1479,2.0846,2.0329
154,678,Africa,Zero-migration,Sao Tome and Principe,4.3605,4.0783,3.8236,3.5967,3.3975,3.2223,3.0669,2.9327,2.809,2.7005,2.6034,2.5156,2.4314,2.3567,2.2821,2.2148,2.1519
155,682,Asia,Zero-migration,Saudi Arabia,2.4808,2.2945,2.1429,2.0203,1.9196,1.8399,1.7839,1.7472,1.7254,1.7141,1.712,1.7164,1.7235,1.7312,1.7402,1.7493,1.7565
156,686,Africa,Zero-migration,Senegal,4.6474,4.3316,4.0523,3.8048,3.5864,3.3941,3.2271,3.0764,2.9413,2.8212,2.7123,2.6094,2.5163,2.4311,2.3452,2.2688,2.1957
157,688,Europe,Zero-migration,Serbia,1.62,1.6439,1.6657,1.6838,1.7016,1.7163,1.7303,1.7427,1.7523,1.7624,1.7692,1.7765,1.7837,1.7894,1.7928,1.7971,1.8019
158,690,Africa,Zero-migration,Seychelles,2.2567,2.1522,2.0637,1.9949,1.9428,1.9043,1.8776,1.8583,1.8451,1.8371,1.8329,1.8297,1.8279,1.8283,1.8286,1.83,1.8304
159,694,Africa,Zero-migration,Sierra Leone,4.319,3.8586,3.4701,3.1482,2.8972,2.6949,2.5316,2.3985,2.2798,2.1829,2.0995,2.0307,1.9732,1.9282,1.8936,1.865,1.8442
160,702,Asia,Zero-migration,Singapore,1.2596,1.2834,1.3046,1.3228,1.3398,1.3535,1.3667,1.3797,1.3915,1.4011,1.4103,1.4182,1.428,1.4333,1.4386,1.4442,1.4491
161,703,Europe,Zero-migration,Slovakia,1.4623,1.5212,1.5691,1.6098,1.6425,1.6698,1.6928,1.7118,1.7276,1.7402,1.7512,1.7611,1.7686,1.7769,1.7807,1.7856,1.7899
162,705,Europe,Zero-migration,Slovenia,1.6376,1.6832,1.7201,1.748,1.7698,1.787,1.8013,1.8123,1.8204,1.8281,1.8345,1.8372,1.8414,1.8446,1.8482,1.8509,1.8534
163,90,Oceania,Zero-migration,Solomon Islands,3.7698,3.5184,3.304,3.1194,2.9591,2.8203,2.6914,2.5789,2.4722,2.3782,2.2884,2.2071,2.1338,2.0697,2.0129,1.9694,1.933
164,706,Africa,Zero-migration,Somalia,6.1235,5.6615,5.228,4.826,4.4522,4.119,3.8295,3.5717,3.3497,3.1549,2.9889,2.841,2.7119,2.5967,2.4926,2.3934,2.3064
165,710,Africa,Zero-migration,South Africa,2.4139,2.2958,2.1968,2.1103,2.0369,1.9765,1.9257,1.8874,1.8576,1.8378,1.8237,1.8121,1.8062,1.8017,1.7994,1.7991,1.8003
166,728,Africa,Zero-migration,South Sudan,4.7359,4.3562,4.0107,3.7059,3.441,3.2152,3.0219,2.858,2.7173,2.5952,2.4877,2.3915,2.3038,2.2228,2.1533,2.0901,2.0377
167,724,Europe,Zero-migration,Spain,1.3908,1.4424,1.4842,1.5213,1.554,1.5819,1.6053,1.6265,1.6441,1.6586,1.6718,1.6844,1.6937,1.702,1.709,1.7179,1.7247
168,144,Asia,Zero-migration,Sri Lanka,2.0288,1.9613,1.9056,1.8625,1.8315,1.8091,1.7954,1.788,1.7855,1.7826,1.7859,1.7873,1.7895,1.7915,1.7953,1.7995,1.8034
169,729,Africa,Zero-migration,Sudan,4.4345,4.1457,3.887,3.6535,3.4464,3.267,3.1109,2.971,2.8455,2.7357,2.6342,2.5401,2.4534,2.3751,2.3036,2.2301,2.1668
170,740,Americas,Zero-migration,Suriname,2.3363,2.2247,2.1293,2.0467,1.9764,1.9218,1.8795,1.8505,1.829,1.8148,1.8066,1.7998,1.7983,1.7969,1.7977,1.7986,1.8006
171,752,Europe,Zero-migration,Sweden,1.9094,1.9139,1.918,1.9203,1.9224,1.9241,1.9256,1.9273,1.9293,1.9303,1.9307,1.9307,1.9305,1.93,1.9297,1.9295,1.9299
172,756,Europe,Zero-migration,Switzerland,1.5488,1.569,1.5868,1.6018,1.6163,1.6285,1.6396,1.6487,1.6588,1.6663,1.6741,1.6811,1.6859,1.6907,1.6952,1.6994,1.7028
173,760,Asia,Zero-migration,Syrian Arab Republic,2.8398,2.6275,2.4521,2.3018,2.1727,2.0635,1.9729,1.9011,1.8473,1.8086,1.7829,1.7682,1.7614,1.7574,1.7575,1.7607,1.7662
174,158,Asia,Zero-migration,"China, Taiwan Province of China",1.2177,1.313,1.3938,1.4614,1.5174,1.5645,1.6034,1.6372,1.6638,1.6852,1.7036,1.7197,1.7344,1.7465,1.7559,1.7632,1.7695
175,762,Asia,Zero-migration,Tajikistan,3.2798,3.091,2.9277,2.7853,2.6577,2.5476,2.4453,2.3496,2.2604,2.1826,2.1121,2.0521,1.9968,1.9548,1.92,1.8933,1.8721
176,834,Africa,Zero-migration,United Republic of Tanzania,4.9237,4.6234,4.3432,4.0818,3.8401,3.6281,3.4368,3.2673,3.1187,2.9822,2.8652,2.7571,2.6593,2.57,2.49,2.4131,2.3382
177,764,Asia,Zero-migration,Thailand,1.4578,1.4143,1.4344,1.4738,1.5149,1.5535,1.588,1.62,1.6468,1.6715,1.6924,1.7118,1.7265,1.7406,1.7516,1.7614,1.7693
178,626,Asia,Zero-migration,Timor-Leste,5.337,4.807,4.3329,3.9211,3.5727,3.284,3.043,2.8469,2.6769,2.5385,2.4149,2.3037,2.21,2.1233,2.055,1.9977,1.9516
179,768,Africa,Zero-migration,Togo,4.3515,4.0492,3.785,3.5496,3.3493,3.1775,3.0222,2.8882,2.7607,2.6519,2.5494,2.4539,2.3683,2.2896,2.2101,2.1425,2.0822
180,776,Oceania,Zero-migration,Tonga,3.5763,3.3879,3.2218,3.0737,2.9458,2.8263,2.7191,2.619,2.5299,2.4441,2.3619,2.2855,2.2163,2.1512,2.0933,2.0433,2.0023
181,780,Americas,Zero-migration,Trinidad and Tobago,1.7299,1.6888,1.6767,1.6747,1.6793,1.6884,1.6994,1.7109,1.7236,1.7339,1.7447,1.7544,1.7629,1.7701,1.7772,1.7851,1.7892
182,788,Africa,Zero-migration,Tunisia,2.1472,2.0617,1.9956,1.9442,1.9068,1.8819,1.8635,1.8502,1.8423,1.8377,1.8363,1.8344,1.8326,1.8326,1.8325,1.8337,1.8358
183,792,Asia,Zero-migration,Turkey,2.0243,1.9425,1.8766,1.8263,1.7897,1.7674,1.7509,1.742,1.7392,1.7421,1.7442,1.7517,1.7568,1.7634,1.7688,1.775,1.7821
