,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
151,662,Americas,Instant-replacement,Saint Lucia,2.08247,2.07689,2.072775,2.069115,2.065905,2.06308,2.0605,2.058135,2.055925,2.054075,2.052325,2.0507,2.04917,2.04777,2.046395,2.045095,2.043895
152,670,Americas,Instant-replacement,Saint Vincent and the Grenadines,2.085015,2.080405,2.076665,2.073255,2.07024,2.067585,2.065185,2.06299,2.06127,2.05959,2.05802,2.056615,2.055195,2.05385,2.052495,2.051295,2.050085
153,882,Oceania,Instant-replacement,Samoa,2.136345,2.130985,2.12644,2.12257,2.11921,2.11616,2.11348,2.11099,2.10874,2.10669,2.104785,2.103065,2.101425,2.09989,2.098445,2.09712,2.095835
154,678,Africa,Instant-replacement,Sao Tome and Principe,2.223415,2.207815,2.194255,2.181375,2.17011,2.15877,2.15076,2.143645,2.136955,2.13057,2.125375,2.120635,2.11607,2.1118,2.107795,2.104435,2.10105
155,682,Asia,Instant-replacement,Saudi Arabia,2.084095,2.07754,2.0722,2.067605,2.06382,2.06084,2.05832,2.05601,2.05398,2.05218,2.050545,2.04911,2.04778,2.04667,2.04571,2.04477,2.04385
156,686,Africa,Instant-replacement,Senegal,2.19511,2.16451,2.1414,2.123275,2.10928,2.10052,2.093765,2.08814,2.08335,2.079245,2.07578,2.073165,2.070725,2.06862,2.066705,2.06497,2.063375
157,688,Europe,Instant-replacement,Serbia,2.079815,2.0779,2.076165,2.07503,2.074005,2.073005,2.0722,2.071485,2.070745,2.07013,2.069625,2.06917,2.068825,2.06854,2.068235,2.06802,2.06876
158,690,Africa,Instant-replacement,Seychelles,2.091865,2.088825,2.086565,2.084615,2.082995,2.08144,2.080055,2.078765,2.077635,2.07655,2.075555,2.074705,2.073925,2.073155,2.0724,2.071705,2.07104
159,694,Africa,Instant-replacement,Sierra Leone,2.568105,2.484715,2.4142,2.35652,2.311495,2.27504,2.244895,2.220635,2.19876,2.180605,2.16455,2.150975,2.139365,2.12979,2.12131,2.11348,2.106605
160,702,Asia,Instant-replacement,Singapore,2.08443,2.08366,2.082975,2.082335,2.0817,2.08119,2.080665,2.080185,2.079795,2.079425,2.079065,2.07871,2.07836,2.07803,2.077715,2.077405,2.07714
161,703,Europe,Instant-replacement,Slovakia,2.071195,2.070365,2.069555,2.06877,2.067955,2.06721,2.06651,2.06587,2.0653,2.06484,2.06444,2.064065,2.06372,2.063425,2.063145,2.062915,2.063585
162,705,Europe,Instant-replacement,Slovenia,2.066245,2.06496,2.063815,2.062755,2.061825,2.06095,2.060165,2.05951,2.05892,2.05837,2.05792,2.057435,2.057045,2.056675,2.056355,2.056055,2.055775
163,90,Oceania,Instant-replacement,Solomon Islands,2.16091,2.13985,2.12312,2.110125,2.10366,2.09927,2.095385,2.091975,2.089005,2.08622,2.083715,2.081315,2.079075,2.07708,2.075225,2.07351,2.071915
164,706,Africa,Instant-replacement,Somalia,2.49234,2.41818,2.35864,2.307775,2.264015,2.22807,2.19823,2.173115,2.153675,2.13743,2.123445,2.112695,2.103895,2.09672,2.09154,2.087155,2.083415
165,710,Africa,Instant-replacement,South Africa,2.19472,2.17028,2.15213,2.139095,2.12896,2.12019,2.112315,2.1049,2.09832,2.09249,2.08815,2.08424,2.08062,2.077255,2.074105,2.07112,2.06829
166,728,Africa,Instant-replacement,South Sudan,2.478985,2.4021,2.338375,2.284205,2.23984,2.20584,2.177615,2.15727,2.139905,2.12638,2.11617,2.107645,2.10147,2.096485,2.09249,2.089055,2.086775
167,724,Europe,Instant-replacement,Spain,2.076655,2.07494,2.073415,2.07216,2.07108,2.07015,2.0693,2.068545,2.06791,2.067335,2.066805,2.06639,2.06603,2.065645,2.065325,2.065075,2.064815
168,144,Asia,Instant-replacement,Sri Lanka,2.08295,2.077905,2.073865,2.07149,2.06865,2.06629,2.06424,2.06235,2.060685,2.0593,2.05802,2.056855,2.05579,2.05478,2.05385,2.052975,2.052215
169,729,Africa,Instant-replacement,Sudan,2.296205,2.26371,2.234635,2.208995,2.187635,2.169375,2.15303,2.139435,2.127675,2.117685,2.11043,2.10431,2.0988,2.09389,2.09026,2.087005,2.084315
170,740,Americas,Instant-replacement,Suriname,2.141625,2.125185,2.10951,2.104795,2.100335,2.09645,2.093035,2.089825,2.087225,2.084855,2.08265,2.080595,2.078615,2.076805,2.075065,2.07336,2.07185
171,752,Europe,Instant-replacement,Sweden,2.07279,2.071665,2.07061,2.069645,2.06875,2.067915,2.06715,2.066505,2.06584,2.065265,2.06472,2.06423,2.06375,2.06333,2.06297,2.062575,2.062255
172,756,Europe,Instant-replacement,Switzerland,2.06705,2.065515,2.064095,2.0628,2.061685,2.060575,2.05957,2.058705,2.05789,2.05717,2.05648,2.05587,2.055335,2.05483,2.05435,2.053985,2.053575
173,760,Asia,Instant-replacement,Syrian Arab Republic,2.101245,2.09016,2.085685,2.08204,2.079105,2.07657,2.07455,2.072675,2.07103,2.06962,2.06847,2.067455,2.066625,2.06595,2.06538,2.064915,2.06475
174,158,Asia,Instant-replacement,"China, Taiwan Province of China",2.103885,2.09261,2.08125,2.07609,2.074905,2.073795,2.07265,2.071555,2.07058,2.069655,2.06876,2.06793,2.067225,2.066545,2.065925,2.065295,2.0647
175,762,Asia,Instant-replacement,Tajikistan,2.1678,2.155335,2.144665,2.13575,2.12792,2.121285,2.11569,2.110725,2.10689,2.103465,2.10042,2.09765,2.095085,2.092785,2.09068,2.088765,2.08715
176,834,Africa,Instant-replacement,United Republic of Tanzania,2.2196,2.19152,2.170115,2.151715,2.135935,2.123735,2.1164,2.109455,2.10339,2.09796,2.093015,2.08899,2.08576,2.08271,2.079925,2.07727,2.07469
177,764,Asia,Instant-replacement,Thailand,2.10735,2.10311,2.0995,2.096295,2.093455,2.090835,2.0885,2.086345,2.08454,2.08282,2.08125,2.079705,2.078315,2.077,2.075775,2.074655,2.07362
178,626,Asia,Instant-replacement,Timor-Leste,2.180415,2.154645,2.135545,2.12372,2.114705,2.107565,2.101605,2.096815,2.092725,2.08938,2.08685,2.08464,2.08268,2.080895,2.079245,2.077785,2.07647
