,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
70,312,Americas,Low variant,Guadeloupe,1.6704,1.4705,1.343,1.3256,1.3131,1.3059,1.302,1.3013,1.3039,1.3053,1.3087,1.3112,1.3156,1.3191,1.3202,1.3227,1.3249
71,316,Oceania,Low variant,Guam,2.0693,1.8296,1.6473,1.5765,1.5166,1.4658,1.4243,1.3933,1.369,1.3507,1.3379,1.3275,1.3228,1.319,1.3153,1.3152,1.3152
72,320,Americas,Low variant,Guatemala,2.6489,2.2682,1.9901,1.8491,1.7362,1.6416,1.5612,1.4926,1.4398,1.3954,1.3632,1.3373,1.3204,1.3069,1.299,1.2932,1.2891
73,324,Africa,Low variant,Guinea,4.4884,3.9712,3.5358,3.2362,2.9726,2.7504,2.5603,2.3932,2.2517,2.1274,2.0192,1.9212,1.8352,1.7541,1.6822,1.6147,1.5577
74,624,Africa,Low variant,Guinea-Bissau,4.2635,3.7678,3.3526,3.0821,2.8499,2.6491,2.4804,2.3312,2.2001,2.0868,1.9818,1.8908,1.8039,1.7254,1.6529,1.5905,1.5369
75,328,Americas,Low variant,Guyana,2.2228,1.9591,1.7587,1.669,1.5905,1.5269,1.4733,1.4303,1.3957,1.3719,1.3541,1.3408,1.3324,1.3262,1.321,1.3185,1.3183
76,332,Americas,Low variant,Haiti,2.5979,2.228,1.9578,1.8202,1.7034,1.6091,1.5254,1.4599,1.4045,1.3645,1.3352,1.3141,1.299,1.2897,1.2858,1.2837,1.2825
77,340,Americas,Low variant,Honduras,2.1648,1.844,1.6163,1.5132,1.431,1.3694,1.3201,1.2851,1.2607,1.2513,1.2424,1.2412,1.242,1.2463,1.2511,1.257,1.2612
78,344,Asia,Low variant,"China, Hong Kong SAR",1.0762,1.0224,0.9995,1.06,1.1088,1.1487,1.182,1.207,1.229,1.2475,1.2608,1.2736,1.284,1.2923,1.2978,1.3046,1.3095
79,348,Europe,Low variant,Hungary,1.1468,1.0499,0.9954,1.0332,1.0666,1.0966,1.1205,1.1405,1.1579,1.1733,1.1874,1.1984,1.2075,1.2165,1.2246,1.2308,1.2376
80,352,Europe,Low variant,Iceland,1.6712,1.4763,1.3425,1.3158,1.297,1.2849,1.2792,1.2749,1.2744,1.2755,1.2774,1.2804,1.2829,1.2864,1.2893,1.294,1.298
81,356,Asia,Low variant,India,2.0529,1.7905,1.5974,1.5192,1.454,1.4004,1.3604,1.3286,1.3046,1.2899,1.2797,1.2728,1.2693,1.2698,1.2697,1.2712,1.2756
82,360,Asia,Low variant,Indonesia,2.0695,1.809,1.6159,1.5418,1.4814,1.4323,1.3957,1.3684,1.3493,1.335,1.3275,1.3202,1.3168,1.3156,1.3146,1.3149,1.3164
83,364,Asia,Low variant,Iran (Islamic Republic of),1.3715,1.13,0.9981,1.019,1.0544,1.091,1.1203,1.1465,1.1698,1.1911,1.2092,1.2261,1.2398,1.2528,1.2619,1.2703,1.2782
84,368,Asia,Low variant,Iraq,4.016,3.6127,3.2872,3.0818,2.9039,2.7488,2.6099,2.4868,2.3682,2.2677,2.1685,2.0802,1.9951,1.9159,1.8396,1.7659,1.7005
85,372,Europe,Low variant,Ireland,1.73,1.5664,1.4567,1.4485,1.4423,1.4369,1.4333,1.4301,1.4268,1.4253,1.4217,1.421,1.42,1.4174,1.4161,1.4159,1.4144
