,Country Code,region,Variant,Location,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
68,300,Europe,Estimates,Greece,2.4795,2.4194,2.2895,2.5528,2.5288,2.42,2.06,1.58,1.42,1.346,1.331,1.4597,1.3434
69,308,Americas,Estimates,Grenada,5.8,6.7,6.4,4.8,4.6,4.3,4.23,4.14,3.46,2.8144,2.4289,2.3023,2.1826
70,312,Americas,Estimates,Guadeloupe,5.61,5.61,5.61,5.22,4.49,3.52,2.55,2.45,2.097,2.1,2.0796,2.06,1.9964
71,316,Oceania,Estimates,Guam,5.527,5.828,6.03,4.724,4.12,3.516,3.08,3.139,2.88,2.88,2.74,2.539,2.4192
72,320,Americas,Estimates,Guatemala,7.1196,6.9947,6.8,6.7,6.58,6.46,6.1561,5.5769,5.3107,4.8288,4.3321,3.6213,3.1923
73,324,Africa,Estimates,Guinea,6.0,6.0742,6.1483,6.1788,6.2912,6.4513,6.589,6.6321,6.5137,6.2354,5.9118,5.535,5.1345
74,624,Africa,Estimates,Guinea-Bissau,5.9,5.9,5.95,6.0,6.1,6.25,6.6982,6.6834,6.5,6.0471,5.6,5.2,4.9
75,328,Americas,Estimates,Guyana,6.0421,6.4545,6.15,5.6967,4.9912,4.0569,3.6425,3.1262,3.0847,3.0549,2.9498,2.726,2.5988
76,332,Americas,Estimates,Haiti,6.3,6.3,6.3,6.0,5.6005,5.8,6.2099,5.6998,5.1499,4.6192,3.9984,3.5476,3.1299
77,340,Americas,Estimates,Honduras,7.497,7.497,7.418,7.421,7.05,6.6,5.9995,5.37,4.916,4.344,3.7595,3.15,2.65
78,344,Asia,Estimates,"China, Hong Kong SAR",4.44,4.72,5.05,3.645,3.01,2.23,1.715,1.3562,1.26,1.06,0.95,1.0362,1.2045
79,348,Europe,Estimates,Hungary,2.686,2.3178,1.81,1.9776,2.0416,2.25,1.8075,1.8222,1.7402,1.3784,1.295,1.3288,1.3318
80,352,Europe,Estimates,Iceland,3.8624,4.1662,3.9383,3.2353,2.8679,2.4472,2.2251,2.1196,2.1908,2.0558,1.9937,2.1305,1.9838
81,356,Asia,Estimates,India,5.903,5.896,5.89,5.7226,5.4104,4.9744,4.6816,4.2656,3.833,3.4829,3.1405,2.7961,2.4383
82,360,Asia,Estimates,Indonesia,5.486,5.672,5.62,5.568,5.3,4.73,4.109,3.4,2.9,2.55,2.525,2.5,2.45
83,364,Asia,Estimates,Iran (Islamic Republic of),6.9086,6.9086,6.9086,6.6802,6.2407,6.2799,6.5339,5.62,3.95,2.634,1.9666,1.7946,1.7453
84,368,Asia,Estimates,Iraq,7.3,6.202,6.598,7.4,7.15,6.8,6.35,6.0895,5.6457,5.1882,4.655,4.55,4.55
85,372,Europe,Estimates,Ireland,3.42,3.58,4.065,3.765,3.815,3.245,2.755,2.18,1.905,1.94,1.965,1.9968,1.996
86,376,Asia,Estimates,Israel,4.277,3.8916,3.8463,3.7834,3.8069,3.4654,3.1341,3.0701,2.9333,2.9325,2.9111,2.927,3.044
87,380,Europe,Estimates,Italy,2.355,2.29,2.504,2.4989,2.3227,1.8856,1.5245,1.3497,1.2715,1.2239,1.2974,1.4169,1.4275
88,388,Americas,Estimates,Jamaica,4.22,5.08,5.64,5.78,5.0,4.0,3.55,3.1,2.84,2.7,2.45,2.28,2.08
89,392,Asia,Estimates,Japan,2.96,2.17,2.03,2.04,2.134,1.831,1.762,1.65,1.476,1.369,1.298,1.3388,1.4087
90,400,Asia,Estimates,Jordan,7.38,7.38,7.995,7.995,7.79,7.38,7.0485,6.0232,5.0,4.3,3.8525,3.7,3.6
91,398,Asia,Estimates,Kazakhstan,4.406,4.555,4.431,3.671,3.607,3.2334,3.0442,3.033,2.55,2.0,2.006,2.5406,2.7
92,404,Africa,Estimates,Kenya,7.481,7.785,8.065,8.11,7.99,7.64,7.216,6.538,5.65,5.35,5.0,4.65,4.1
93,296,Oceania,Estimates,Kiribati,6.1,6.6,6.7808,6.0397,4.9973,5.1,5.0,4.8,4.553,4.198,3.96,3.88,3.7875
94,408,Asia,Estimates,Dem. People's Republic of Korea,3.462,5.117,3.8501,4.388,4.001,2.85,2.801,2.358,2.25,2.01,2.0,1.999,1.95
