,Country Code,region,Variant,Location,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
135,512,Asia,Estimates,Oman,7.252,7.252,7.252,7.3091,7.4077,8.1,8.3166,7.8479,6.2743,4.464,3.2,2.9,2.9
136,586,Asia,Estimates,Pakistan,6.6,6.6,6.6,6.6,6.6,6.6,6.444,6.2967,5.6691,4.9945,4.23,3.98,3.72
137,275,Asia,Estimates,State of Palestine,7.38,7.38,7.995,7.995,7.694,7.504,7.0491,6.7573,6.6031,5.8052,5.0155,4.602,4.25
138,591,Americas,Estimates,Panama,5.7641,5.8725,5.79,5.4142,4.8822,4.1869,3.6272,3.2383,2.92,2.8134,2.6842,2.6322,2.6002
139,598,Oceania,Estimates,Papua New Guinea,6.238,6.259,6.278,6.214,6.087,5.871,5.474,4.966,4.703,4.637,4.385,4.133,3.8376
140,600,Americas,Estimates,Paraguay,6.5,6.5,6.45,6.15,5.3505,5.2,5.12,4.77,4.3095,3.88,3.2397,2.8922,2.5988
141,604,Americas,Estimates,Peru,6.95,6.95,6.95,6.7,6.0,5.4,4.65,4.1,3.57,3.1,2.8,2.5995,2.5
142,608,Asia,Estimates,Philippines,7.4201,7.2692,6.9807,6.5392,5.9769,5.4623,4.9215,4.5271,4.1385,3.9,3.7,3.3,3.05
143,616,Europe,Estimates,Poland,3.6302,3.4698,2.72,2.3348,2.2349,2.2285,2.3135,2.1624,1.9479,1.5147,1.2587,1.374,1.3338
144,620,Europe,Estimates,Portugal,3.0988,3.1216,3.1873,3.1187,2.8332,2.5486,2.0084,1.6205,1.48,1.455,1.4513,1.3718,1.2831
145,630,Americas,Estimates,Puerto Rico,4.97,4.82,4.37,3.41,2.99,2.76,2.46,2.26,2.18,1.985,1.85,1.72,1.52
146,634,Asia,Estimates,Qatar,6.97,6.97,6.97,6.97,6.75,6.1,5.45,4.4,3.74,3.46,2.95,2.23,2.0
147,638,Africa,Estimates,Réunion,6.9294,6.5699,6.5632,5.6722,3.875,3.12,2.7765,2.713,2.405,2.3279,2.445,2.3969,2.4
148,642,Europe,Estimates,Romania,3.0596,2.735,2.1044,2.8678,2.6541,2.5457,2.2599,2.2244,1.5063,1.338,1.32,1.448,1.484
