,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
128,540,Oceania,High variant,New Caledonia,2.3918,2.4541,2.4873,2.4324,2.3902,2.3597,2.3387,2.324,2.3165,2.3108,2.3077,2.3073,2.3084,2.3098,2.31,2.3108,2.3131
129,554,Oceania,High variant,New Zealand,2.2242,2.3253,2.3859,2.3544,2.3323,2.3155,2.3024,2.2967,2.2916,2.2899,2.2914,2.2937,2.2942,2.2962,2.2986,2.3021,2.3053
130,558,Americas,High variant,Nicaragua,2.4106,2.4294,2.4305,2.3491,2.2939,2.2558,2.233,2.2246,2.2209,2.2254,2.2309,2.2363,2.2457,2.2537,2.2619,2.2689,2.2759
131,562,Africa,High variant,Niger,7.4029,7.2251,6.9349,6.52,6.101,5.689,5.2919,4.9181,4.5751,4.2656,3.9855,3.7546,3.544,3.3692,3.2193,3.0888,2.9755
132,566,Africa,High variant,Nigeria,5.6668,5.479,5.2406,4.9124,4.6018,4.3148,4.0542,3.8235,3.6156,3.4429,3.2963,3.1646,3.0486,2.9468,2.8606,2.7796,2.706
133,807,Europe,High variant,TFYR Macedonia,1.7957,1.9814,2.112,2.1383,2.1624,2.1827,2.2007,2.2184,2.2322,2.2439,2.2541,2.2636,2.2726,2.2774,2.2853,2.291,2.296
134,578,Europe,High variant,Norway,2.0775,2.2335,2.3385,2.3429,2.346,2.3492,2.3522,2.3549,2.3567,2.3584,2.3597,2.3607,2.3619,2.3611,2.3627,2.3627,2.3626
135,512,Asia,High variant,Oman,2.7873,2.6842,2.5894,2.4468,2.3396,2.2709,2.2359,2.2227,2.2253,2.2324,2.24,2.2471,2.2562,2.2645,2.2714,2.2783,2.2858
136,586,Asia,High variant,Pakistan,3.6267,3.4988,3.3772,3.1945,3.0438,2.9144,2.8047,2.7069,2.6214,2.5477,2.4846,2.4367,2.399,2.3701,2.3458,2.3297,2.3193
137,275,Asia,High variant,State of Palestine,4.1597,4.0119,3.858,3.6405,3.4586,3.306,3.1731,3.0559,2.9477,2.8531,2.7648,2.6879,2.6192,2.5598,2.5105,2.4658,2.4305
138,591,Americas,High variant,Panama,2.7188,2.7548,2.7579,2.6701,2.5941,2.5337,2.4812,2.4374,2.4035,2.3799,2.36,2.3468,2.3381,2.3317,2.3275,2.3244,2.3219
139,598,Oceania,High variant,Papua New Guinea,3.8383,3.7686,3.6772,3.5157,3.3759,3.2539,3.142,3.0458,2.9567,2.8734,2.7984,2.7263,2.6618,2.6028,2.5495,2.505,2.467
140,600,Americas,High variant,Paraguay,2.6955,2.7213,2.7169,2.6259,2.5519,2.4846,2.4302,2.3862,2.3513,2.3247,2.3056,2.294,2.2867,2.2805,2.2778,2.2782,2.279
141,604,Americas,High variant,Peru,2.6036,2.6262,2.6155,2.5214,2.4442,2.3842,2.337,2.3026,2.2813,2.2691,2.262,2.2585,2.2587,2.2613,2.2647,2.27,2.2746
