,Country Code,region,Variant,Location,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
33,148,Africa,Momentum,Chad,2.6799,2.68433,2.688715,2.692935,2.69693,2.700615,2.703945,2.706855,2.70932,2.711345,2.71291,2.71401,2.71473,2.715055,2.71504,2.71474,2.71424
34,152,Americas,Momentum,Chile,2.070045,2.070305,2.070515,2.070705,2.070885,2.07103,2.071175,2.071315,2.07143,2.071535,2.07164,2.07173,2.071815,2.07188,2.071945,2.07201,2.07206
35,156,Asia,Momentum,China,2.195565,2.186515,2.17717,2.16763,2.157915,2.14806,2.138075,2.128005,2.117865,2.11789,2.11789,2.11789,2.11787,2.11787,2.11787,2.11788,2.11788
36,170,Americas,Momentum,Colombia,2.12001,2.12065,2.12132,2.12188,2.122375,2.1228,2.12317,2.123485,2.123765,2.123995,2.1242,2.12438,2.12454,2.12469,2.124815,2.124925,2.12502
37,174,Africa,Momentum,Comoros,2.322945,2.3222,2.321515,2.3209,2.32033,2.31982,2.319375,2.31899,2.318655,2.318385,2.31819,2.318065,2.318,2.318035,2.318135,2.318295,2.318525
38,178,Africa,Momentum,Congo,2.28468,2.28259,2.280805,2.279305,2.27806,2.2771,2.276355,2.27581,2.27548,2.27535,2.275405,2.27564,2.276035,2.2766,2.27733,2.278215,2.27924
39,180,Africa,Momentum,Democratic Republic of the Congo,2.47874,2.47674,2.47507,2.473715,2.47268,2.47189,2.471365,2.47105,2.470975,2.47108,2.4714,2.471865,2.47249,2.473255,2.474125,2.475115,2.476185
40,188,Americas,Momentum,Costa Rica,2.08634,2.08674,2.0871,2.087405,2.08768,2.087935,2.088155,2.08835,2.08852,2.088675,2.0888,2.088915,2.089015,2.089085,2.089155,2.08921,2.089245
41,384,Africa,Momentum,Côte d'Ivoire,2.595565,2.593895,2.5925,2.59129,2.59032,2.58957,2.588995,2.588665,2.58857,2.58867,2.589025,2.58963,2.59046,2.59154,2.592885,2.594465,2.59625
42,191,Europe,Momentum,Croatia,2.078785,2.07918,2.07946,2.07964,2.079755,2.079815,2.079855,2.079865,2.079865,2.079865,2.079865,2.07986,2.079855,2.079855,2.07986,2.07986,2.079855
